query,title,price,shipping_time,variable_prod,returns,shipping_price,ebay_article_id,prod_url,ebay_vendor,category,subcategory,product_state,product_sold_out_text
iphone12,Apple iPhone 12 Pro Max 256gb como nuevo con iCloud bloqueo icloudsperre plata,"650,00 EUR",mar. 13 jul.  y el mié. 14 jul. ,,No se aceptan devoluciones,"25,00 EUR",194220862338,https://www.ebay.es/itm/194220862338?hash=item2d38772b82%3Ag%3AcC0AAOSwDjZg2wNH&LH_BIN=1,backtron,Movilesytelefonia,,Para desguace o que no funciona,
iphone12,Apple iPhone 12 5G 128GB NUOVO Originale Smartphone iOS 14 Green ,"779,90 EUR",lun. 5 jul. y el mié. 4 ago.,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","9,90 EUR",143832446019,https://www.ebay.es/itm/143832446019?hash=item217d14f443%3Ag%3AkWQAAOSw0Z1fqXSx&LH_BIN=1,eshopping.srl,Movilesytelefonia,,Nuevo,
iphone12,Apple iPhone 12 Dual eSIM 128GB Verde (A2403) Nuevo Precintado Garantia,"847,00 EUR c/u",vie. 02 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución",Rápido y gratis,393385610106,https://www.ebay.es/itm/393385610106?_trkparms=ispr%3D1&hash=item5b979c0b7a%3Ag%3AZ%7E8AAOSwSzRgybgJ&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSU8qUIAeVPdz29zRlje3Lg%252FoibsGuGe3dQk3Ou%252FtJHXrEbRDKKkENEjdDhE5gk2x1oegLrAFAyMcRlzbJ1FEdYCj08rCau6tt0IlX9yrhkVV6c8eXSz7fdTg8qFM2PIjcfiRXmUMLQRlWY7eqAIeLclMdaVw2UqwJ0FFusBpM2D6m2S1NPgs9nQ9J3q7UsubbdpyS5OYY8vrfukZXjvpIZhk3c7Tpt5PGFj5lVPI3rP3Uy2Fg%252BIvRZNOaRuVlgDVbmHTlJS7BuzT%252BdLf4EG3tTvBlulMxIGgqDfAnAwzNnvHvlneFAkbiiltGZwBu34b3o2DNsnS1wfrcBRhlYY%252BVKGAeGI72hU4%252FpgAVG03bJTZIRDEj6DuV5BJ8NbY90jvIUntVkNvyOqAB1tQpiQY9doehQssiBufhcrKp21iNC%252BGEWBMKbJptApHvgO8POe1nRFzzOIcnDmK23xXXCR4UOBAWBOHPsrOSDKFReUufrJylocCmtmL6W74e%252B39s9%252FmW090mDGVNYOFq4DF6n9UaBa04psHb0CDZ9Xia5eTiOqHFPwRSL388Hn2ZTARQn9zCZTXZtye75MCFMlac44NjSiDZjbitDcYcx7f7ifkLW5eOYFpVV06XIYPylFG46hUip56olt1rmacvGz9vP%252FyDyck7QodH0W6OfraYyiqBC9RgXDFIT4DKT3HMctz18TXKwObhfhTNXS5%252B%252Fj84y%252FFnbczbwJwc9Wh8JH1DwQ5ttumFBiHIP9MSBIfeCJvJ7U0FQKpc5W66WJiVAQAIIur4IIhfKBbFjWpmlqyBpCy17Upasdqd46m6U7RsFMWn6SCV%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,movilstore16,Movilesytelefonia,,Nuevo,
iphone12,IPhone 12 MINI-Negro - 64GB-Desbloqueado-Nuevo/otros 2022 puede Garantía (vatinc),"603,07 EUR",jue. 8 jul. y el vie. 9 jul.,,"reembolso de 14 días, el comprador paga los gastos de envío de la devolución","20,44 EUR",164936037653,https://www.ebay.es/itm/164936037653?hash=item2666f43515%3Ag%3A0ZkAAOSw%7EeBg245u&LH_BIN=1,humptydp,Movilesytelefonia,,"Abierto, sin usar",
iphone12,Apple iPhone 12 - 128GB-Púrpura (Desbloqueado) ** 1 Año De Garantía Apple **,"812,23 EUR",vie. 9 jul. y el lun. 12 jul. ,,No se aceptan devoluciones,"24,24 EUR",373631056891,https://www.ebay.es/itm/373631056891?_trkparms=ispr%3D1&hash=item56fe257bfb%3Ag%3Ays8AAOSwV8Jg3Gdl&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSafTQYbq3L7RBVAMi0K9cwwTQYAK7bLzTHCuSUOchKUrCpIoYGwr4AgVXVbnvFzleXxV%252BIuOgYphMIeXvsCt6p52tHeql3ETo1YzMdMKgnVSNdmudGaiV%252BIblOKplPhnVdOF%252BkvNU%252BD7WU5wZIEbyOxVyX58XizMoc4S%252FGmHhswbJ6gW7yg9%252BTEFvA7TD6FzxMmgUosxDLQtmyRfey7LFmZZaHM6rV31mCFwabyvO3DbWKnCj1EWWE5SigAI4brI5NUPw5aK%252B479RUsQ5U2gXBBV9Fl%252FUrfL589x1HVRpPMNtMpeniInBR2qBQyML8N7zVJtXPoEIbQ%252BJmhu1cLWop9CZyzcqVmNNy8EHyTJkS%252BbFhAlhXmIYXuAbdvrbDuZbFLM7MVeAgcd1C%252Bge1fpfa9nBegAcFOltwW5szAnhuhOdm6%252B%252FwMn%252Fcp5dGNVZ3RE0uU6p9p7Nn49UWSBo5KX3Ks%252B9tcH2K59rN29IPfaW6gqBCsrZ6v2KseCum1Vb94%252BzBv74HlVU%252BYRRglykR6VfOj9ZcQdfclEea4q2I9iy9%252FnWp7FhZ5plWGldUYm5bCFSQ%252FD%252BwrwVDJdXiZVKW87AmkQfyYYII5NjEP9dt1ufn5Vxu4tNkqxfxCdngGDnAXgoCPTn5XQKXazwewbJYvKxYcPIso5O5XicFfsrag7dd7PjgTR3LXuUnjMJDCug6Y4uoAg25Td2wleJMEgA2Oq98LMh7u%252BOJqQDCGBwdlCHvSxbu3aVFKz5JH%252FO%252BhX9vlzU8Ubxv0%252Fm2z8mYNGNlDVWG6v3uN2rgFgAJw9yL6kCe%252Fg%253D%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,phones2gadget,Movilesytelefonia,,Nuevo,
microondas ,MICROONDAS CECOTEC PROCLEAN 5110 INOX+ GRILL / 700W / 20LITROS / 2AÑOS GARANTIA,"89,90 EUR",lun. 5 jul. y el jue. 8 jul.,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución",GRATIS,254317024640,https://www.ebay.es/itm/254317024640?hash=item3b3679d580%3Ag%3A2bgAAOSwlLBdQrFc&LH_BIN=1,mi_mejor_hogar,Microondas,,Nuevo,
iphone 8 plus,Apple iPhone 8 64GB Teléfono inteligente Desbloqueado Varios Colores Plus Sim Reino Unido Nuevo,"418,32 EUR",vie. 9 jul. y el lun. 12 jul. ,"<span id=""sel-msku-variation"" style=""display:none"">-1</span>","reembolso de 30 días, el comprador paga los gastos de envío de la devolución","17,07 EUR",203113949551,https://www.ebay.es/itm/203113949551?_trkparms=ispr%3D1&hash=item2f4a88e96f%3Ag%3AGMYAAOSwhe1etd9G&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSjVt3vLKCbov98Z19qhuwYxwfcsnMG2KOq%252B%252Fu9KKbD%252BkXFNMLV7%252Beb4yBhhUOW5wOomJNszWniCpdhEzPWfDNzPiYLRK1zOr%252FTEqbOznWXnSfAn6lO1b2ap25GAPxKPHyXbeu8kIgCE5xKHefemrbVIyuGoQTlSga6R2Thek0hIwG6CEWcditzTbyV23xxilwHdhCw9F1a7ped18arg0NVCrlERho1tuvRRXeQD%252FM0OKqbB%252BMGpEcWPK3xrsu12qlMleyNy1Tc798n6r%252Bgqs1KxrdvMBAK45zvQS0vziYZESK2cmoZatq2BLyQC5Pg6RFBCKKXjn900in6BORjui79Dkq69tOqTwgyv%252FR1ZZHx9EQr3n7bdscABxhAXcKW49bW7lmETvMPJbYasL7VCPTPcyEUdWA9BbbkvtLflcIar2vFc4vUvCxGRK3xrDCD9LhUwWFGBQAfsiija5E61JglP4fX4yxjW3PnMT3g2GlLg5TcsHT8yivOvdgFWnu5T6pNC2GHB1Jq8LeKkVLYXpOT42s7%252BLdp0M2edl3P5YQoUtlZPyG%252B2RX8%252FMpFf7jdbySHqzlGEvaf22Vf5ElLr%252BWz1gKDLaITsJNcMdSrR8ktwQfL4BavypRN0w7%252BxFJPxbA%252FUXLCxbgsIHKoYIFm5uY5Y8%252BD%252FQ6tzmKHIx8PYBNPUgpKYzhj1aZEMub4%252Buz5MMwL5tOXA%252Fejotq4A%252FQRC8dCSDjkQuzSsF%252F9ylfhUtAnmh0QUZXgH5Rw1xiYZ5e101VwnWnKjDjDWWxXUySrV%252FT72sijAQy27xPr6v5aepULvsIzOT0du4fd7scr90uJBn0%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,zahraservices2017,Movilesytelefonia,,"Abierto, sin usar",
iphone 8 plus,Apple iPhone 8 64GB Desbloqueado Varios Colores Plus,"180,34 EUR",vie. 9 jul. y el lun. 12 jul. ,"<span id=""sel-msku-variation"" style=""display:none"">-1</span>","reembolso de 60 días, el comprador paga los gastos de envío de la devolución","12,74 EUR",124054535060,https://www.ebay.es/itm/124054535060?_trkparms=ispr%3D1&hash=item1ce239fb94%3Ag%3AkgYAAOSwx5VeJZuO&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSxXDXcCydCuSj2Tq2S%252F3Gnn7q4S690p%252FbkCbl4v%252BPs0bY1JxfrASEbuW1qtptHJXrdMhr6kE5zy1I2nOpVPsb3yn%252BvBh05vM9g7F6x8q5WyTs3PXfIpelIHlRNTU5203MlWhgPFy13fHy5b%252FbgsvkDlMqbMA25u2AnMzTbWgah4puQJWfu08bHI0CB9dTI3XUi5C2TbjM8EIy1O3H4Okz%252F68QeREOBVMt%252FQ7%252B27xIBRD5K9zWT9aTIMoQvcXwMDLq3uuYsTQjN%252FwzRBu%252BgqJse%252Bf7C5buiVhKFppwVN6DrN21rJtxS%252BgpaMw5H6kFQGUVcJZCpwUm7cJx0V8UcuRZRBoQTANcWEi5QYHUm%252ByI5iLpTTlm0HEP5SpsvCjWCGifQe6y9ZFPcY%252BUWGEkXr8keRK%252F9jBoQ4pTru02ngGerz%252Bbia8sicpQRBiwYW44fvfIDzxutdlw2OLpSh7ohk%252BD21bn6GPOrpZYUrebUxLW2K%252BPyTUhd6oZq8jVuzmXBKi23Y9%252BVHg5LtUPQvl0SuuPnYDGiH8KckM011nyC09oZrxlDAPfaW9F%252FsMCdSBmdcTzIlVyJGyoR2uIro7%252F50OI5WkgXEf23EQjv%252FgBXO03yxepDQB9iF5ZQTL2WQmWukJ81mtct0j6UUjcCKav5TFxNxtBt9hzs7zmgIztqkwa1IA3b9qDL1caLx2e1u8jcKP%252BTtiV%252FZ4emRk8tXbi%252FLjHLlGk%252Fcls%252BUopEWuDZlKO%252FD8P97rLwZSaHO5vqyHlMy%252BbfoKuaDHaqY3t44xCQYbCrBtz9z4BaUrq1DYWfeK%252BP65W%252BcnkHhHUmTpptHfHQVpk%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,mobilecrazylimited,Movilesytelefonia,,Usado,
iphone 8 plus,Iphone 8 plus 64 gb,"279,00 EUR",vie. 2 jul. y el lun. 5 jul.,,No se aceptan devoluciones,"6,00 EUR",384203238640,https://www.ebay.es/itm/384203238640?hash=item59744c2cf0%3Ag%3A2gAAAOSwiKdguVQr&LH_BIN=1,estemuoz1,Movilesytelefonia,,Usado,
iphone 8 plus,"Apple iPhone 8 Plus 5.5"" 64Go 4G LTE Desbloqueado de Fábrica Smartphone Blanco","263,96 EUR",lun. 19 jul.  y el mié. 4 ago.,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución",GRATIS,352837722931,https://www.ebay.es/itm/352837722931?hash=item5226c46333%3Ag%3A4-QAAOSwvFJduRBr&LH_BIN=1,everbuying01,Movilesysmartphones,,Reacondicionado por el vendedor,
iphone 8 plus,"Apple iPhone 8 Plus - 64GB-Dorado (Desbloqueado) - por favor, consulte la descripción","360,22 EUR",jue. 8 jul. y el vie. 9 jul.,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","16,01 EUR",174811986568,https://www.ebay.es/itm/174811986568?hash=item28b39b3a88%3Ag%3AWTAAAOSw199g0mfb&LH_BIN=1,ismartfone,Movilesytelefonia,,Nuevo,
iphone 8 plus,Apple iPhone 8 - 64GB-rojo del producto Plus (Desbloqueado) Estado Como Nuevo-No Táctil ID,"232,34 EUR",mar. 6 jul. y el vie. 16 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","15,05 EUR",333813813200,https://www.ebay.es/itm/333813813200?hash=item4db8da8fd0%3Ag%3AaXkAAOSwN%7EdeoE6-&LH_BIN=1,innofinity-worldwide,Movilesytelefonia,,Reacondicionado por el vendedor,
iphone 8 plus,Apple Iphone 8 Plus 64GB LIBRE+USADO+GA,"299,00 EUR",vie. 02 jul. ,"<span id=""sel-msku-variation"" style=""display:none"">-1</span>","reembolso de 14 días, el comprador paga los gastos de envío de la devolución",Rápido y gratis,124715455524,https://www.ebay.es/itm/124715455524?hash=item1d099ed424%3Ag%3AzhMAAOSwqpNglqBc&LH_BIN=1,navinet12,,,Usado,
iphone 8 plus,Apple iPhone 8 Plus Desbloqueado - 64GB 256GB-Smartphone-SIM LIBRE-Todos Los Colores,"174,24 EUR",mar. 6 jul. y el vie. 16 jul. ,"<span id=""sel-msku-variation"" style=""display:none"">-1</span>","reembolso de 14 días, el vendedor paga el envío de la devolución","17,42 EUR",224443929746,https://www.ebay.es/itm/224443929746?hash=item3441e69492%3Ag%3A3OMAAOSwG0xgi0Ws&LH_BIN=1,ataglobal,Movilesytelefonia,,Reacondicionado por el vendedor,
iphone 8 plus,Grado a Apple iPhone 8 Plus 64GB-Gris espacial (Desbloqueado),"348,59 EUR",mié. 7 jul. y el jue. 15 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","29,04 EUR",174224041320,https://www.ebay.es/itm/174224041320?hash=item28908fe568%3Ag%3AnqQAAOSwq3FecjNF&LH_BIN=1,smartgadgets2019,Movilesytelefonia,,Usado,
iphone 8 plus,Apple iPhone 8 Plus 256GB Teléfono inteligente (Desbloqueado) - oro,"447,37 EUR",lun. 12 jul.  y el mar. 13 jul. ,,No se aceptan devoluciones,"27,83 EUR",164934588691,https://www.ebay.es/itm/164934588691?hash=item2666de1913%3Ag%3AMWsAAOSwXbNgRqkc&LH_BIN=1,timeaaref,Movilesytelefonia,,Usado,
iphone 8 plus,Apple iPhone 8 64GB Rojo Desbloqueado Inmaculada Plus condición prístina,"289,34 EUR",vie. 9 jul. y el lun. 12 jul. ,,No se aceptan devoluciones,"23,61 EUR",384247458698,https://www.ebay.es/itm/384247458698?hash=item5976eeeb8a%3Ag%3AzQoAAOSwZCVgZtn4&LH_BIN=1,azro301,Movilesytelefonia,,Usado,
iphone 8 plus,Grado A = Apple iPhone 8 Plus 64GB-Plateado (Desbloqueado) (8),"319,54 EUR",mié. 7 jul. y el jue. 15 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","29,04 EUR",174223061094,https://www.ebay.es/itm/174223061094?hash=item289080f066%3Ag%3AlocAAOSwaLxecMMC&LH_BIN=1,smartgadgets2019,Movilesytelefonia,,Usado,
iphone 8 plus,Apple iPhone 8 A1897 (GSM) 64GB Plus (Desbloqueado) - Plata,"232,40 EUR",vie. 9 jul. y el mar. 13 jul. ,,No se aceptan devoluciones,"19,50 EUR",184870210946,https://www.ebay.es/itm/184870210946?hash=item2b0b1f8d82%3Ag%3AWWMAAOSwumxgueEA&LH_BIN=1,joyforsuccess,Movilesytelefonia,,Usado,
iphone 8 plus,Apple IPhone 8 64GB Desbloqueado Excelente Estado espacio Plus Gris,"277,72 EUR",vie. 9 jul. y el lun. 12 jul. ,,No se aceptan devoluciones,"23,40 EUR",324652341430,https://www.ebay.es/itm/324652341430?hash=item4b96c998b6%3Ag%3A4EEAAOSwiCZgtMF1&LH_BIN=1,brit301,Movilesytelefonia,,Usado,
iphone 8 plus,Apple iPhone 8 Plus - 128Go - Gris Sidéral (Désimlocké) A1897 (GSM),"130,00 EUR",lun. 19 jul.  y el lun. 2 ago.,,No se aceptan devoluciones,"10,00 EUR",353555386066,https://www.ebay.es/itm/353555386066?hash=item52518b0ed2%3Ag%3AzrkAAOSw7RteNsmu&LH_BIN=1,prefla4,Movilesytelefonia,,Nuevo,
iphone 8 plus,Apple iPhone 6 A1524 64GB 8MP teléfono inteligente iOS Plus Móvil Plateado Desbloqueado,"138,27 EUR",vie. 9 jul. y el lun. 12 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","11,98 EUR",363320493371,https://www.ebay.es/itm/363320493371?hash=item549796c53b%3Ag%3APoIAAOSw7GpgS5KO&LH_BIN=1,xsitems_ltd,Movilesytelefonia,,Usado,
iphone 8 plus,Apple MQ8L2B/A iPhone 8 Plus - 64GB-Gris espacial (Desbloqueado),"278,88 EUR",vie. 9 jul. y el mar. 13 jul. ,,No se aceptan devoluciones,"22,09 EUR",265212665521,https://www.ebay.es/itm/265212665521?hash=item3dbfe81eb1%3Ag%3A0rwAAOSwXu5g21RT&LH_BIN=1,cesgemini13,Movilesytelefonia,,Usado,
iphone 8 plus,Apple iPhone 8 Plus - 256GB ROIO (PRODUCT RED),"359,00 EUR",mié. 7 jul. y el vie. 9 jul.,,No se aceptan devoluciones,"10,00 EUR",224172293119,https://www.ebay.es/itm/224172293119?hash=item3431b5bbff%3Ag%3Ax5gAAOSw0kpfcJRl&LH_BIN=1,dubzon3.og,Movilesysmartphones,,Usado,
iphone 8 plus,APPLE iPHONE 8 64GB Teléfono inteligente Oro (Desbloqueado PLUS),"313,74 EUR",vie. 9 jul. y el lun. 12 jul. ,,No se aceptan devoluciones,"15,16 EUR",164740628353,https://www.ebay.es/itm/164740628353?hash=item265b4e7f81%3Ag%3AOG0AAOSwgUJgQT38&LH_BIN=1,amirshah0786,Movilesytelefonia,,Usado,
iphone 8 plus,APPLE IPHONE 8 PLUS 64GB SPACE GREY + BOX + ACCESSORI + SPEDIZIONE GRADO A,"309,00 EUR",lun. 5 jul. y el jue. 5 ago.,,"reembolso de 14 días, el comprador paga los gastos de envío de la devolución","20,60 EUR",255034312119,https://www.ebay.es/itm/255034312119?hash=item3b613ac5b7%3Ag%3A1BoAAOSw3OBg20dp&LH_BIN=1,tecnopoint2k16,Movilesytelefonia,,Reacondicionado por el vendedor,
iphone 8 plus,Apple iPhone 8 64GB Rojo | DESBLOQUEADO | Plus A1905 | 100% Batt,"311,41 EUR",vie. 9 jul. y el lun. 12 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","15,13 EUR",284348544355,https://www.ebay.es/itm/284348544355?hash=item42347e7563%3Ag%3AJjMAAOSwlRBg16HP&LH_BIN=1,iphoneforless,Movilesytelefonia,,"Abierto, sin usar",
